order_item_id,order_id,product_id,quantity,unit_price,discount_percent
1,154,157,8,837.89,5.84
2,31,147,5,249.69,32.83
3,179,511,2,12.72,27.29
4,348,303,3,514.9,4.09
5,1181,373,6,106.7,5.35
6,367,472,5,196.9,59.17
7,525,453,3,88.94,56.39
8,1165,500,1,625.16,21.81
9,588,411,7,640.09,51.42
10,1394,133,8,124.66,22.0
11,1280,322,6,441.28,5.01
12,847,519,8,73.95,15.77
13,1398,44,1,234.93,44.46
14,502,9,3,268.41,51.18
15,596,385,3,743.02,34.21
16,150,229,7,320.79,52.45
17,1371,96,6,961.7,27.95
18,1316,548,8,728.8,6.55
19,370,111,7,389.21,46.09
20,409,412,6,15.54,3.87
21,702,498,4,339.77,42.14
22,976,118,5,611.7,27.27
23,1117,160,8,494.83,8.73
24,438,328,1,739.71,59.27
25,779,64,6,1150.76,47.37
26,970,219,1,292.41,12.69
27,47,434,5,583.35,15.12
28,361,86,3,817.8,4.16
29,830,84,5,470.39,52.43
30,925,430,4,20.56,40.18
31,532,189,1,452.33,5.55
32,878,351,5,785.92,9.87
33,716,430,8,20.56,28.53
34,1411,165,7,258.66,21.28
35,1420,399,-1,357.59,33.65
36,1223,204,2,569.01,43.36
37,1185,149,6,489.32,39.84
38,649,15,3,726.9,53.79
39,303,512,6,196.66,6.82
40,1381,417,5,350.58,31.24
41,8,462,3,402.36,38.06
42,1309,100,1,558.24,13.12
43,385,431,3,920.92,36.06
44,443,357,4,405.4,57.14
45,1392,15,-3,726.9,48.83
46,34,310,5,24.27,30.13
47,256,512,8,196.66,24.84
48,721,361,7,368.18,31.39
49,688,117,3,301.63,27.53
50,765,182,3,311.54,32.57
51,782,292,7,448.62,38.05
52,1512,102,2,726.02,48.36
53,213,92,1,226.02,36.98
54,843,107,8,348.01,45.0
55,1510,103,8,500.4,30.2
56,67,297,7,479.92,12.71
57,932,391,2,415.59,11.73
58,962,128,6,192.37,58.06
59,951,423,7,29.06,0.46
60,768,230,5,334.04,16.06
61,1349,271,5,907.55,50.31
62,850,248,1,73.67,54.01
63,850,34,1,926.93,1.57
64,767,532,6,475.76,20.11
65,1172,441,4,252.78,33.34
66,802,198,7,74.36,49.71
67,1184,440,3,290.62,56.36
68,800,178,7,591.52,54.25
69,1060,163,7,147.79,13.86
70,1455,130,2,381.84,37.89
71,803,267,3,393.64,56.92
72,418,96,2,961.7,1.54
73,24,157,1,837.89,37.09
74,1114,81,7,514.28,1.52
75,268,465,6,85.12,11.19
76,1337,228,5,505.94,11.63
77,503,388,5,1023.21,39.56
78,564,85,3,538.5,37.65
79,1308,106,2,896.67,27.55
80,1221,126,2,447.74,8.51
81,537,185,2,1046.94,4.64
82,741,213,7,494.86,6.04
83,45,424,2,625.33,29.19
84,1282,79,4,277.89,41.24
85,769,322,8,441.28,48.51
86,369,306,1,995.73,54.22
87,1351,33,2,55.27,58.55
88,711,496,1,263.87,9.5
89,522,125,4,453.21,36.37
90,1098,24,3,368.3,12.98
91,748,118,4,611.7,1.77
92,284,226,2,1203.21,43.66
93,260,275,5,960.36,28.89
94,189,357,5,405.4,28.02
95,1016,447,7,10.05,55.34
96,513,178,4,591.52,41.22
97,1470,288,7,539.84,6.17
98,1204,320,3,732.03,47.65
99,1479,500,7,625.16,52.97
100,868,279,6,116.26,37.37
101,1244,393,7,516.25,11.98
102,723,383,0,628.55,53.87
103,132,461,3,697.06,53.37
104,1048,260,7,719.24,17.61
105,1322,544,6,477.64,23.9
106,235,185,6,1046.94,25.76
107,381,367,4,13.67,4.36
108,1346,381,6,275.92,8.7
109,644,126,1,447.74,19.12
110,23,337,4,433.49,27.92
111,659,239,2,950.99,23.14
112,1233,218,4,870.52,6.18
113,570,77,7,975.2,40.93
114,892,326,6,827.26,11.89
115,102,506,8,730.42,2.81
116,563,432,2,668.64,7.45
117,351,335,-5,829.52,22.97
118,1181,22,5,599.31,1.07
119,1180,5,8,618.7,17.06
120,825,38,1,753.99,20.24
121,34,72,8,118.93,5.71
122,851,309,5,620.85,19.03
123,709,410,2,126.2,33.39
124,1506,506,1,730.42,23.6
125,1427,466,8,447.46,50.92
126,249,383,2,628.55,1.76
127,98,11,3,104.28,6.31
128,662,447,4,10.05,10.21
129,392,378,1,229.79,56.05
130,108,266,1,488.98,6.65
131,624,77,5,975.2,19.76
132,1255,389,5,520.13,41.92
133,283,472,2,196.9,7.58
134,304,424,8,625.33,40.09
135,1069,541,-2,27.2,34.67
136,1355,502,-3,572.97,19.31
137,1497,495,4,742.02,5.51
138,607,85,6,538.5,33.51
139,497,211,2,447.86,4.51
140,1013,62,4,733.49,0.79
141,443,480,7,644.37,11.28
142,215,349,4,500.53,48.84
143,1081,527,6,641.18,45.63
144,639,465,3,85.12,50.87
145,217,134,4,762.22,55.0
146,790,464,4,308.87,46.8
147,385,71,5,240.16,25.39
148,1406,315,2,119.55,8.84
149,220,113,4,297.34,1.0
150,944,192,5,559.49,1.72
151,1356,544,8,477.64,21.12
152,243,87,6,398.73,25.89
153,309,407,7,94.04,30.48
154,109,452,5,824.44,22.19
155,101,392,7,1151.89,11.64
156,388,413,3,387.59,35.64
157,1085,506,7,730.42,6.55
158,103,255,2,326.22,13.17
159,109,37,5,452.15,14.33
160,1090,104,5,534.46,13.59
161,1271,415,7,650.82,23.57
162,451,275,0,960.36,29.71
163,351,209,6,553.34,38.21
164,1446,295,1,924.66,105.62
165,1031,489,5,504.43,51.15
166,1409,245,3,598.89,18.91
167,143,171,3,519.53,19.93
168,933,146,1,370.21,39.96
169,877,343,1,345.86,10.65
170,541,79,3,277.89,40.75
171,20,361,8,368.18,34.99
172,1001,254,8,138.94,6.56
173,36,298,4,551.98,31.52
174,343,151,2,767.03,6.0
175,688,464,8,308.87,44.09
176,1118,264,8,144.35,15.21
177,940,14,6,162.72,18.07
178,684,531,8,758.09,6.77
179,1405,532,1,475.76,8.87
180,841,226,3,1203.21,21.43
181,64,251,7,591.08,21.57
182,183,199,7,621.12,38.32
183,561,461,3,697.06,15.92
184,1391,358,6,113.21,23.46
185,855,283,5,201.23,11.43
186,1187,533,6,785.4,50.05
187,252,444,-4,528.6,34.0
188,711,296,2,1082.41,58.17
