product_id,product_name,category,subcategory,cost_price
1,Urban Cotton T-Shirt,Clothing,Men,397.35
2,Vivid Non-Stick Pan,Home,Bedding,345.9
3,   PINNACLE STORYBOOK  ,Books,Comics,221.69
4,Aster Wireless Earbuds,Electronics,Cameras,128.93
5,Aster Charger Cable,Electronics,Laptops,475.64
6,Urban Non-Stick Pan,Home,Lighting,237.9
7,Aster Cookbook,Books,Comics,220.76
8,Solstice Textbook,Books,Fiction,207.13
9,Solstice Wooden Chair,Home,Kitchen,208.76
10,Pinnacle Textbook,Books,Comics,23.17
11,Solstice Wireless Earbuds,Electronics,Headphones,62.38
12,Pinnacle Novel,Books,Children,233.68
13,   SOLSTICE CHARGER CABLE  ,Electronics,Laptops,314.58
14,Pinnacle Wireless Earbuds,Electronics,Laptops,69.85
15,  Nova Bedsheet Set   ,Home,Bedding,486.71
16,Pinnacle Running Shoes,Clothing,Women,11.77
17,Nova Cookbook,Books,Fiction,233.42
18,Everline DSLR Camera,Electronics,Laptops,256.89
19,Vivid Bedsheet Set,Home,Bedding,125.65
20,Aster Denim Jeans,Clothing,Footwear,256.58
21,Craftly Running Shoes,Clothing,Men,173.24
22,Everline Wall Clock,Home,Kitchen,419.55
23,Pinnacle Textbook,Books,Non-Fiction,244.75
24,Craftly LED Lamp,Home,Lighting,230.4
25,Aster Wooden Chair,Home,Furniture,194.57
26,Vivid Comic Collection,Books,Fiction,354.09
27,Vivid Cookbook,Books,Academic,482.59
28,Solstice Kids Hoodie,Clothing,Winterwear,435.5
29,Vivid Storybook,Books,Fiction,12.6
30,Nova Denim Jeans,Clothing,Footwear,237.4
31,Craftly LED Lamp,Home,Decor,326.67
32,Solstice Bedsheet Set,Home,Lighting,315.27
33,Aster Novel,Books,Children,38.87
34,  Craftly Non-Stick Pan   ,Home,Furniture,381.38
35,Everline Laptop,Electronics,Cameras,452.19
36,Everline Smartphone,Electronics,Headphones,182.44
37,Pinnacle Cookbook,Books,Non-Fiction,208.97
38,Nova Denim Jeans,Clothing,Women,306.7
39,Vivid Cookbook,Books,Children,456.85
40,Everline Winter Jacket,Clothing,Women,232.49
41,Pinnacle Wireless Earbuds,Electronics,Cameras,83.2
42,Everline Storybook,Books,Comics,321.27
43,Everline Textbook,Books,Comics,103.61
44,Prime Novel,Books,Academic,193.78
45,Everline Wall Clock,Home,Lighting,15.86
46,Aster Novel,Books,Comics,433.21
47,EVERLINE DSLR CAMERA,Electronics,Accessories,305.5
48,Aster Wooden Chair,Home,Furniture,129.06
49,Everline Cotton T-Shirt,Clothing,Men,395.36
50,Urban Wireless Earbuds,Electronics,Accessories,49.62
51,Urban Bedsheet Set,Home,Decor,104.39
52,Everline LED Lamp,Home,Lighting,416.08
53,  Solstice Wall Clock   ,Home,Bedding,236.82
54,Craftly Laptop,Electronics,Laptops,483.8
55,zenith bedsheet set,Home,Kitchen,270.6
56,   ASTER COMIC COLLECTION  ,Books,Comics,412.1
57,Vivid Wooden Chair,Home,Kitchen,17.39
58,Nova Wooden Chair,Home,Lighting,319.52
59,Nova Textbook,Books,Comics,74.19
60,Nova DSLR Camera,Electronics,Headphones,53.11
61,Solstice Winter Jacket,Clothing,Footwear,336.89
62,  Craftly Cookbook   ,Books,Children,417.68
63,Solstice Novel,Books,Comics,112.55
64,Nova Comic Collection,Books,Non-Fiction,490.56
65,Zenith Wall Clock,Home,Lighting,202.08
66,Nova Winter Jacket,Clothing,Men,333.07
67,PRIME WIRELESS EARBUDS,Electronics,Mobiles,394.55
68,Prime Kids Hoodie,Clothing,Men,295.26
69,Aster Denim Jeans,Clothing,Kids,6.4
70,Everline Kids Hoodie,Clothing,Women,400.26
71,Zenith Laptop,Electronics,Mobiles,182.33
72,Zenith Running Shoes,Clothing,Winterwear,91.25
73,  Pinnacle DSLR Camera   ,Electronics,Laptops,374.1
74,Pinnacle Comic Collection,Books,Academic,298.86
75,Aster Cookbook,Books,Children,26.47
76,   ZENITH NON-STICK PAN  ,Home,Bedding,424.41
77,  Vivid Textbook   ,Books,Fiction,450.14
78,Nova Wooden Chair,Home,Lighting,67.46
79,Pinnacle LED Lamp,Home,Bedding,150.97
80,Pinnacle Novel,Books,Fiction,361.82
81,Prime Winter Jacket,Clothing,Footwear,209.84
82,Nova Textbook,Books,Academic,159.71
83,Urban Wall Clock,Home,Decor,344.98
84,  Nova Novel   ,Books,Fiction,218.78
85,Zenith LED Lamp,Home,Furniture,295.3
86,Solstice Bedsheet Set,Home,Kitchen,437.44
87,Aster Comic Collection,Books,Fiction,159.66
88,PRIME CHARGER CABLE,Electronics,Accessories,330.08
89,Pinnacle Running Shoes,Clothing,Men,186.94
90,Craftly Wooden Chair,Home,Lighting,423.35
91,Zenith Wireless Earbuds,Electronics,Accessories,94.31
92,Zenith Wall Clock,Home,Decor,94.8
93,Nova Winter Jacket,Clothing,Winterwear,75.23
94,Prime Charger Cable,Electronics,Mobiles,191.22
95,Solstice Cookbook,Books,Comics,159.26
96,Nova LED Lamp,Home,Lighting,442.25
97,Zenith Kids Hoodie,Clothing,Women,338.61
98,Vivid Bedsheet Set,Home,Bedding,305.5
99,Pinnacle Cookbook,Books,Comics,61.34
100,Aster Comic Collection,Books,Fiction,245.88
101,Craftly Wooden Chair,Home,Kitchen,492.3
102,EVERLINE LAPTOP,Electronics,Mobiles,384.84
103,  Nova Wall Clock   ,Home,Decor,251.21
104,Craftly Cookbook,Books,Non-Fiction,268.63
105,Solstice Kids Hoodie,Clothing,Winterwear,40.68
106,  Vivid Smartphone   ,Electronics,Cameras,431.74
107,Craftly Textbook,Books,Children,148.31
108,Urban Comic Collection,Books,Fiction,401.65
109,Craftly Novel,Books,Comics,423.02
110,Craftly Kids Hoodie,Clothing,Footwear,264.36
111,Prime Comic Collection,Books,Comics,169.87
112,Nova Kids Hoodie,Clothing,Men,267.65
113,Urban Running Shoes,Clothing,Kids,121.95
114,Urban Denim Jeans,Clothing,Kids,303.19
115,Vivid DSLR Camera,Electronics,Laptops,378.45
116,Solstice Storybook,Books,Children,432.8
117,   NOVA BEDSHEET SET  ,Home,Furniture,223.89
118,zenith led lamp,Home,Decor,256.13
119,Zenith Bedsheet Set,Home,Bedding,33.16
120,Aster Non-Stick Pan,Home,Kitchen,299.07
121,Pinnacle Storybook,Books,Academic,477.34
122,prime charger cable,Electronics,Cameras,304.48
123,nova winter jacket,Clothing,Men,491.28
124,Zenith Laptop,Electronics,Accessories,127.63
125,Pinnacle Storybook,Books,Academic,306.85
126,Craftly Wall Clock,Home,Decor,207.34
127,Solstice Non-Stick Pan,Home,Lighting,37.63
128,Everline DSLR Camera,Electronics,Accessories,129.74
129,Aster Cotton T-Shirt,Clothing,Kids,333.49
130,  Urban Bedsheet Set   ,Home,Decor,158.24
131,Pinnacle Cookbook,Books,Comics,51.26
132,Zenith Comic Collection,Books,Children,184.49
133,Vivid Running Shoes,Clothing,Women,100.04
134,Everline Cotton T-Shirt,Clothing,Women,422.99
135,Pinnacle Charger Cable,Electronics,Accessories,23.69
136,Aster Wooden Chair,Home,Lighting,191.48
137,Urban Kids Hoodie,Clothing,Women,361.99
138,Prime Wireless Earbuds,Electronics,Cameras,484.95
139,Pinnacle Wooden Chair,Home,Bedding,123.39
140,Aster Comic Collection,Books,Non-Fiction,492.3
141,Pinnacle Textbook,Books,Comics,266.09
142,Urban Kids Hoodie,Clothing,Women,437.14
143,Pinnacle Wireless Earbuds,Electronics,Cameras,467.48
144,Urban Smartphone,Electronics,Headphones,140.03
145,Prime Cotton T-Shirt,Clothing,Footwear,409.27
146,Zenith Bedsheet Set,Home,Kitchen,201.24
147,Nova Bedsheet Set,Home,Furniture,190.58
148,Solstice Smartphone,Electronics,Headphones,396.73
149,Vivid Running Shoes,Clothing,Men,349.56
150,Aster Winter Jacket,Clothing,Footwear,7.6
151,Prime Wireless Earbuds,Electronics,Mobiles,418.31
152,Prime Comic Collection,Books,Fiction,154.07
153,   ASTER DSLR CAMERA  ,Electronics,Laptops,36.09
154,Zenith Storybook,Books,Children,317.82
155,Craftly Running Shoes,Clothing,Women,5.77
156,CRAFTLY LED LAMP,Home,Furniture,333.86
157,Nova Wireless Earbuds,Electronics,Accessories,476.93
158,Zenith DSLR Camera,Electronics,Cameras,319.66
159,Solstice Non-Stick Pan,Home,Decor,395.32
160,Aster Non-Stick Pan,Home,Furniture,368.92
161,solstice non-stick pan,Home,Furniture,407.69
162,Urban Winter Jacket,Clothing,Footwear,406.69
163,Everline Smartphone,Electronics,Cameras,104.79
164,Everline Running Shoes,Clothing,Men,260.11
165,Prime Novel,Books,Comics,146.62
166,Nova Wireless Earbuds,Electronics,Headphones,400.67
167,Craftly Textbook,Books,Academic,172.82
168,Solstice Winter Jacket,Clothing,Footwear,462.53
169,Nova Bedsheet Set,Home,Kitchen,218.15
170,Solstice Running Shoes,Clothing,Winterwear,55.79
171,Vivid Wall Clock,Home,Decor,303.3
172,Solstice Textbook,Books,Non-Fiction,226.33
173,Everline Bedsheet Set,Home,Lighting,321.54
174,Solstice DSLR Camera,Electronics,Mobiles,258.98
175,Aster Denim Jeans,Clothing,Men,340.65
176,Nova Cookbook,Books,Fiction,121.82
177,Aster Bedsheet Set,Home,Decor,21.03
178,   SOLSTICE RUNNING SHOES  ,Clothing,Footwear,382.73
179,Craftly Running Shoes,Clothing,Winterwear,160.62
180,Zenith Non-Stick Pan,Home,Furniture,369.16
181,Pinnacle Textbook,Books,Children,63.29
182,Aster Wooden Chair,Home,Bedding,146.36
183,Urban Novel,Books,Non-Fiction,427.15
184,nova textbook,Books,Non-Fiction,335.58
185,Everline Charger Cable,Electronics,Accessories,446.21
186,Pinnacle Running Shoes,Clothing,Women,116.0
187,Vivid Denim Jeans,Clothing,Women,18.01
188,Urban LED Lamp,Home,Bedding,307.91
189,   CRAFTLY WIRELESS EARBUDS  ,Electronics,Mobiles,265.22
190,urban novel,Books,Children,322.96
191,Solstice Storybook,Books,Academic,68.53
192,Pinnacle Winter Jacket,Clothing,Women,455.8
193,Urban Charger Cable,Electronics,Mobiles,155.54
194,Solstice Denim Jeans,Clothing,Kids,474.0
195,Prime Wall Clock,Home,Kitchen,319.35
196,Aster Wall Clock,Home,Furniture,269.07
197,URBAN KIDS HOODIE,Clothing,Winterwear,331.07
198,Zenith Non-Stick Pan,Home,Lighting,45.21
199,  Craftly LED Lamp   ,Home,Furniture,251.53
200,Prime Bedsheet Set,Home,Decor,403.32
201,Nova Textbook,Books,Comics,345.86
202,Vivid Winter Jacket,Clothing,Footwear,234.9
203,solstice wooden chair,Home,Lighting,368.43
204,Solstice Wooden Chair,Home,Bedding,259.92
205,Vivid Laptop,Electronics,Headphones,65.65
206,Nova Cookbook,Books,Non-Fiction,30.05
207,Prime Textbook,Books,Children,481.53
208,Solstice Kids Hoodie,Clothing,Kids,98.97
209,Vivid Kids Hoodie,Clothing,Footwear,251.89
